age_cat,stab,variable,value
55,NE,male,61595
55,NH,male,51958
55,NJ,male,331589
55,NM,male,63742
55,NV,male,93513
55,NY,male,673322
55,OH,male,412303
55,OK,male,124652
55,OR,male,129663
55,PA,male,464458
55,RI,male,36980
55,SC,male,157606
55,SD,male,29922
55,TN,male,222758
55,TX,male,858699
55,UT,male,74114
55,VA,male,297573
55,VT,male,23597
55,WA,male,247779
55,WI,male,217588
55,WV,male,59929
55,WY,male,18430
60,AK,male,24318
60,AL,male,158722
60,AR,male,88073
60,AZ,male,197245
60,CA,male,1193728
60,CO,male,172625
60,CT,male,131698
60,DC,male,17385
60,DE,male,29814
60,FL,male,635261
60,GA,male,304438
60,HI,male,47677
60,IA,male,104967
60,ID,male,47550
60,IL,male,420150
60,IN,male,218324
60,KS,male,92655
60,KY,male,153562
60,LA,male,147432
60,MA,male,228285
60,MD,male,200626
60,ME,male,52332
60,MI,male,345972
60,MN,male,184145
60,MO,male,198783
60,MS,male,92741
60,MT,male,36827
60,NC,male,311866
60,ND,male,22984
60,NE,male,62094
60,NH,male,55956
60,NJ,male,298678
60,NM,male,68264
60,NV,male,91433
60,NY,male,642510
60,OH,male,397784
60,OK,male,125611
60,OR,male,131242
60,PA,male,455125
60,RI,male,39782
60,SC,male,154171
60,SD,male,30824
60,TN,male,211542
60,TX,male,790081
60,UT,male,71277
60,VA,male,268344
60,VT,male,24980
60,WA,male,232894
60,WI,male,208996
60,WV,male,70390
60,WY,male,20202
65,AK,male,23984
65,AL,male,142314
65,AR,male,84532
65,AZ,male,183421
65,CA,male,968901
65,CO,male,149439
65,CT,male,103566
65,DC,male,14489
65,DE,male,26861
65,FL,male,585023
65,GA,male,249484
65,HI,male,39472
65,IA,male,96808
65,ID,male,47010
65,IL,male,352219
65,IN,male,187194
65,KS,male,82560
65,KY,male,125320
65,LA,male,126960
65,MA,male,193389
65,MD,male,157300
65,ME,male,46219
65,MI,male,308384
65,MN,male,165040
65,MO,male,181567
65,MS,male,79381
65,MT,male,38291
65,NC,male,270914
65,ND,male,21840
65,NE,male,50912
65,NH,male,42017
65,NJ,male,242024
65,NM,male,62289
65,NV,male,81119
65,NY,male,535272
65,OH,male,348611
65,OK,male,107032
65,OR,male,128164
65,PA,male,393952
65,RI,male,27817
65,SC,male,143723
65,SD,male,24798
65,TN,male,186230
65,TX,male,630015
65,UT,male,63794
65,VA,male,221451
65,VT,male,24910
65,WA,male,207166
65,WI,male,175224
65,WV,male,62341
65,WY,male,17667
70,AK,male,13709
70,AL,male,112479
70,AR,male,74189
70,AZ,male,163419
70,CA,male,776695
70,CO,male,120130
70,CT,male,79177
70,DC,male,10520
70,DE,male,21633
70,FL,male,547576
70,GA,male,204846
70,HI,male,33679
